district_id,cook_rating,pvi,already_committed,recommended_additional,recommended_total_party
CA-40,Lean R,-2.3490241947268897,0.0,10338126.478869686,10338126.478869686
PA-01,Toss-Up,-0.3294379916098378,18921.5,8626216.014218459,8645137.514218459
MI-07,Lean R,-2.55840954579728,0.0,8319923.918795142,8319923.918795142
TX-15,Toss-Up,1.0192203759560066,0.0,8203395.111245807,8203395.111245807
IA-01,Likely R,-3.23919947167052,0.0,7739455.0288811335,7739455.0288811335
VA-02,Lean R,-2.661735182405322,0.0,7082094.625449214,7082094.625449214
FL-22,Likely D,7.92701110812219,0.0,6954757.470988911,6954757.470988911
PA-10,Likely R,-5.326025754717467,0.0,6916825.3669002205,6916825.3669002205
NC-09,Likely R,-5.841307578312968,0.0,6854104.707136554,6854104.707136554
PA-08,Likely R,-4.501763513589582,0.0,6720426.135199249,6720426.135199249
PA-07,Lean R,-2.2695414278169013,100000.0,6063744.102937836,6163744.102937836
AZ-06,Likely R,-3.0859031340330274,0.0,6047167.839814931,6047167.839814931
IA-03,Lean R,-2.591819058935757,0.0,5988296.301505308,5988296.301505308
WI-03,Likely R,-4.072955843970282,0.0,5945890.120507608,5945890.120507608
MI-04,Likely R,-5.202260954909226,0.0,5804351.154687625,5804351.154687625
AZ-02,Likely R,-6.433271888721167,112860.0,5678657.235719463,5791517.235719463
MI-10,Lean R,-3.3435538497304127,0.0,5470807.540721698,5470807.540721698
AZ-01,Toss-Up,-2.448492787482301,0.0,5423106.975638082,5423106.975638082
NE-02,Toss-Up,-0.5855479710474842,0.0,5402219.379715386,5402219.379715386
NY-21,Likely R,-9.049076835055661,0.0,5264798.684079979,5264798.684079979
OH-15,Likely R,-6.124369085418522,0.0,5247622.709791667,5247622.709791667
SC-01,Likely R,-7.794760907709938,0.0,5239217.181509299,5239217.181509299
CO-03,Likely R,-7.619998140340705,0.0,5182736.214231696,5182736.214231696
NJ-02,Likely R,-4.761067754946824,0.0,5152802.267294216,5152802.267294216
NJ-07,Lean R,-2.1840325062936543,289000.0,4826614.870044787,5115614.870044787
VA-01,Likely R,-6.880373957461114,0.0,5042957.34898613,5042957.34898613
CO-08,Toss-Up,-0.9917513678841472,38880.0,4976276.726518394,5015156.726518394
FL-27,Toss-Up,2.7019707357899074,0.0,4976737.610046914,4976737.610046914
WI-01,Lean R,-2.905236133876948,0.0,4904769.664314354,4904769.664314354
NV-02,Likely R,-8.147825812678416,0.0,4897733.766445626,4897733.766445626
NY-01,Likely R,-3.6928800390495202,0.0,4819021.630933661,4819021.630933661
CA-13,Likely D,4.383782670392684,990.54,4603767.280722186,4604757.820722186
FL-13,Likely R,-5.446031223054323,0.0,4480671.124936349,4480671.124936349
CA-22,Lean D,5.826128820806293,17500.0,4432977.237836176,4450477.237836176
VA-05,Likely R,-6.758397945939892,0.0,4399970.267321358,4399970.267321358
MT-01,Likely R,-6.648156748725844,0.0,4249200.154824881,4249200.154824881
MN-01,Likely R,-7.847842235909125,0.0,4224706.194809899,4224706.194809899
FL-07,Likely R,-5.117554716684672,0.0,4216450.007056221,4216450.007056221
MO-02,Likely R,-7.986075858271152,0.0,4214387.099658273,4214387.099658273
NY-02,Likely R,-3.774283387941013,0.0,4122919.333959095,4122919.333959095
NC-11,Safe R,-8.230709932398778,321977.75,3673018.587639802,3994996.337639802
CA-48,Safe R,-10.09708544488959,0.0,3961780.3633036623,3961780.3633036623
FL-04,Likely R,-6.09606681878749,0.0,3930751.2449932643,3930751.2449932643
TX-32,Safe D,13.571719379477386,0.0,3894622.4774365965,3894622.4774365965
NC-06,Lean D,4.163220378592431,0.0,3893204.273922309,3893204.273922309
IA-02,Lean R,-4.036017317545893,0.0,3810874.0769296177,3810874.0769296177
TN-05,Safe R,-9.101000979194431,0.0,3695608.7948982,3695608.7948982
CO-05,Safe R,-10.35789116985529,0.0,3658016.2032605577,3658016.2032605577
GA-07,Likely D,8.481636073280551,0.0,3629363.5607854333,3629363.5607854333
CA-01,Safe R,-12.4413722392534,0.0,3564340.957049214,3564340.957049214
AR-02,Safe R,-9.052831282224066,0.0,3498946.719150452,3498946.719150452
FL-28,Toss-Up,0.7406612144223361,0.0,3493890.0217739865,3493890.0217739865
OH-10,Likely R,-4.1762804360223,0.0,3429867.8833785043,3429867.8833785043
AL-02,Safe R,-17.48894147961364,100000.0,3227583.1634076177,3327583.1634076177
NC-14,Lean D,5.0351647382739895,0.0,3148874.7611545785,3148874.7611545785
CA-45,Likely D,3.405664749834103,0.0,3104062.1091992203,3104062.1091992203
OH-09,Toss-Up,-2.6750752258288104,0.0,3089590.9701862456,3089590.9701862456
NC-13,Toss-Up,-1.864598296187117,0.0,3036449.330476258,3036449.330476258
NC-01,Lean D,2.6847642563189944,120000.0,2909583.880267327,3029583.880267327
LA-06,Safe R,-18.66232902104467,0.0,2872167.5983659904,2872167.5983659904
KS-02,Safe R,-10.919753167294175,0.0,2823064.6566315778,2823064.6566315778
TX-03,Safe R,-12.263087849046576,0.0,2654873.6363775255,2654873.6363775255
FL-08,Safe R,-11.553985107654771,0.0,2635721.645048324,2635721.645048324
WA-05,Safe R,-8.078962030869253,0.0,2586418.8531053592,2586418.8531053592
NV-03,Lean D,1.8001935367752464,0.0,2561849.5600484246,2561849.5600484246
OH-07,Likely R,-7.0155130829773595,0.0,2500633.294871559,2500633.294871559
MD-01,Safe R,-11.511437051533768,14397.65,2449912.712851443,2464310.362851443
TX-34,Safe D,11.644424539330867,224.13,2408240.3907202287,2408464.5207202286
RI-02,Likely D,3.7712601111473285,0.0,2356069.5224793334,2356069.5224793334
OH-01,Lean D,1.4899957446163237,0.0,2235489.820373821,2235489.820373821
VA-06,Safe R,-13.950633267870007,0.0,2225583.875220204,2225583.875220204
OH-12,Safe R,-17.225752396313208,0.0,2127356.9824953014,2127356.9824953014
AZ-09,Safe R,-15.971098802177186,0.0,2085319.2786696414,2085319.2786696414
WA-03,Toss-Up,-4.816242854185046,0.0,2031910.9758791812,2031910.9758791812
NY-19,Lean D,-0.9436788799621371,0.0,1947996.9311083064,1947996.9311083064
CA-05,Safe R,-8.888000805717656,0.0,1903988.0579614895,1903988.0579614895
NE-01,Safe R,-9.41435049125387,0.0,1694176.759437331,1694176.759437331
FL-14,Safe D,8.855974120729392,0.0,1639428.5387583147,1639428.5387583147
NY-03,Lean D,1.705849946619914,0.0,1614248.718626283,1614248.718626283
MI-08,Lean D,-0.8913436295996224,0.0,1610481.3914835344,1610481.3914835344
FL-09,Safe D,9.587847940804794,0.0,1595655.8078887938,1595655.8078887938
FL-21,Likely R,-6.707063416602949,0.0,1565686.6668199794,1565686.6668199794
OK-05,Safe R,-12.644828798930217,0.0,1415913.9623641698,1415913.9623641698
NM-02,Lean D,1.5160307331892997,0.0,1389145.455074559,1389145.455074559
CA-03,Toss-Up,-4.260867603951912,0.0,1323127.3886215766,1323127.3886215766
NC-07,Safe R,-8.254535703796442,0.0,1298205.4073517732,1298205.4073517732
NH-02,Lean D,1.2041262086251447,0.0,1243376.220587685,1243376.220587685
NV-01,Likely D,3.1666798532818117,0.0,1220711.1354745994,1220711.1354745994
CA-25,Likely D,6.785435303968063,0.0,1214277.7031437722,1214277.7031437722
ME-02,Likely R,-5.701764426813255,0.0,1104738.4617563356,1104738.4617563356
FL-25,Safe D,10.651298537769655,0.0,1075001.9907934507,1075001.9907934507
MN-02,Lean D,-0.14427997792423597,0.0,1055893.4839157944,1055893.4839157944
IN-01,Likely D,3.573714791027988,0.0,1029830.9665389308,1029830.9665389308
TX-23,Lean R,-4.585290023430264,0.0,1015941.835460789,1015941.835460789
NY-04,Lean D,5.110116322913344,0.0,992382.4304961662,992382.4304961662
