district_id,c_max,party_dollars,selected
AZ-09,3,2099708.0,True
AZ-09,5,2459680.0,True
AZ-09,7,2619472.0,True
AZ-09,10,2710839.0,True
AZ-09,15,2734323.0,True
AZ-09,20,2715317.0,True
AZ-09,30,2656823.0,True
CA-36,3,510058.0,True
CA-36,5,684570.0,True
CA-36,7,825838.0,True
CA-36,10,993398.0,True
CA-36,15,1191462.0,True
CA-36,20,1323617.0,True
CA-36,30,1477358.0,True
MD-07,3,128458.0,False
MD-07,5,202736.0,False
MD-07,7,276995.0,False
MD-07,10,385236.0,True
MD-07,15,546321.0,True
MD-07,20,674332.0,True
MD-07,30,837822.0,True
MN-05,3,239891.0,False
MN-05,5,297783.0,False
MN-05,7,341022.0,True
MN-05,10,389570.0,True
MN-05,15,445090.0,True
MN-05,20,482103.0,True
MN-05,30,525659.0,True
NC-04,3,1228793.0,True
NC-04,5,1031600.0,True
NC-04,7,900295.0,True
NC-04,10,772058.0,True
NC-04,15,646998.0,True
NC-04,20,572589.0,True
NC-04,30,485211.0,True
TN-09,3,171671.0,False
TN-09,5,275218.0,False
TN-09,7,379001.0,True
TN-09,10,527282.0,True
TN-09,15,734535.0,True
TN-09,20,883847.0,True
TN-09,30,1050929.0,True
