district_id,cook_rating,pvi,cand_d_total,flags,n_validity_flags
AL-01,Safe R,-16.357029889797673,40075.67,,0
AL-02,Safe R,-17.48894147961364,663367.86,redistricting_flagged,1
AL-03,Safe R,-19.224766238484722,28899.83,,0
AL-04,Safe R,-32.99150514498746,14623.54,,0
AL-05,Safe R,-17.288279129804017,476792.19,,0
AL-06,Safe R,-19.298201595586924,48622.35,,0
AL-07,Safe D,14.226682719477429,1635788.42,,0
AR-01,Safe R,-21.391296630854292,53191.65,,0
AR-02,Safe R,-9.052831282224066,983015.95,,0
AR-03,Safe R,-15.476863151334888,114575.79,,0
AR-04,Safe R,-18.710195024103218,5627.98,,0
AZ-01,Toss-Up,-2.448492787482301,3320813.73,,0
AZ-02,Likely R,-6.433271888721167,1674073.46,,0
AZ-03,Safe D,24.623777496420452,2475393.0,,0
AZ-04,Lean D,1.6182962123334588,1112555.97,,0
AZ-05,Safe R,-11.63027765524259,127919.33,,0
AZ-06,Likely R,-3.0859031340330274,4093847.5,,0
AZ-07,Safe D,15.636005284412564,1857662.75,,0
AZ-08,Safe R,-10.181826844449171,40862.85,,0
AZ-09,Safe R,-15.971098802177186,4439410.31,,0
CA-01,Safe R,-12.4413722392534,1675105.4,,0
CA-02,Safe D,23.304486035062574,886963.6,,0
CA-03,Toss-Up,-4.260867603951912,1293160.46,,0
CA-04,Safe D,16.90863605237989,7723210.3,,0
CA-05,Safe R,-8.888000805717656,272283.71,,0
CA-06,Likely D,7.578196341651678,875235.36,,0
CA-07,Safe D,18.0949623630077,3031300.44,,0
CA-08,Safe D,26.86109662816917,557834.27,,0
CA-09,Likely D,4.989054547840372,1032871.24,,0
CA-10,Safe D,18.00449331076005,609747.82,,0
CA-11,Safe D,37.65186614121579,3863683.3,,0
CA-12,Safe D,40.46856696126791,957256.32,,0
CA-13,Likely D,4.383782670392684,2311243.57,,0
CA-14,Safe D,22.448767455138224,2348998.77,,0
CA-15,Safe D,28.539933135818373,651698.03,,0
CA-16,Safe D,26.442084135142792,1426732.34,,0
CA-17,Safe D,24.68124762453286,7540830.12,,0
CA-18,Safe D,22.530887217829346,1318327.45,,0
CA-19,Safe D,18.97607047198322,1492690.44,,0
CA-20,Safe R,-16.1928793689232,124465.2,,0
CA-21,Safe D,9.24463230357992,608733.94,,0
CA-22,Lean D,5.826128820806293,2073768.17,,0
CA-23,Safe R,-8.137760237717675,72674.73,,0
CA-24,Safe D,12.509524773144115,910621.09,,0
CA-25,Likely D,6.785435303968063,1240151.98,,0
CA-26,Safe D,8.003792259311972,647359.17,,0
CA-27,Likely D,4.063200566994896,1735346.94,,0
CA-28,Safe D,16.169126222614,857831.85,,0
CA-29,Safe D,27.637639681993456,557465.01,,0
CA-30,Safe D,24.07935261980949,4960719.67,,0
CA-31,Safe D,16.10022520246681,485535.59,,0
CA-32,Safe D,20.567593412917894,3767794.41,,0
CA-33,Safe D,12.701667657858678,3914264.13,,0
CA-34,Safe D,34.29769394227007,1357734.97,,0
CA-35,Safe D,14.526011827287176,733128.45,,0
CA-36,Safe D,21.379065236746058,1319376.98,,0
CA-37,Safe D,38.17115571896528,1026975.02,,0
CA-38,Safe D,15.524643438248566,895031.39,,0
CA-39,Safe D,12.638332359465792,976794.27,,0
CA-40,Lean R,-2.3490241947268897,2685985.64,,0
CA-41,Toss-Up,-3.5498506287901357,1612831.35,,0
CA-42,Safe D,23.548646756052822,1646080.73,,0
CA-43,Safe D,33.66523654372313,710470.47,,0
CA-44,Safe D,25.585392212203978,1178896.16,,0
CA-45,Likely D,3.405664749834103,2051201.75,,0
CA-46,Safe D,16.58257586569293,613912.12,,0
CA-47,Likely D,3.120100066463399,1664867.18,,0
CA-48,Safe R,-10.09708544488959,2243945.3,,0
CA-49,Lean D,2.7222366320874105,2015523.36,,0
CA-50,Safe D,14.071194061937565,1363206.09,,0
CA-51,Safe D,11.437344844143032,1447813.19,,0
CA-52,Safe D,20.016199703055122,495684.42,,0
CO-01,Safe D,28.762867479927927,1650611.03,,0
CO-02,Safe D,16.877197454600925,1640259.63,,0
CO-03,Likely R,-7.619998140340705,1125023.8,,0
CO-04,Safe R,-13.921511275641516,6739030.72,,0
CO-05,Safe R,-10.35789116985529,1551101.76,,0
CO-06,Safe D,8.034491840473857,2217842.31,,0
CO-07,Lean D,2.769295170062125,1322309.86,,0
CO-08,Toss-Up,-0.9917513678841472,3735755.52,,0
CT-01,Safe D,11.526638530994981,1629009.56,,0
CT-02,Lean D,2.1286702699589153,508302.32,,0
CT-03,Likely D,6.922120923630809,1028036.22,,0
CT-04,Safe D,12.541705966334455,968702.17,,0
CT-05,Lean D,2.141638010775665,728471.0,,0
DE-00,Likely D,6.127682804332846,2208285.13,,0
FL-01,Safe R,-19.928854314051243,124561.61,,0
FL-02,Likely R,-7.56900038068406,384752.04,,0
FL-03,Safe R,-9.079725707420678,29873.36,,0
FL-04,Likely R,-6.09606681878749,427460.94,,0
FL-05,Safe R,-11.450101278446976,135458.56,,0
FL-06,Safe R,-13.732136947426714,198714.94,,0
FL-07,Likely R,-5.117554716684672,438046.54,,0
FL-08,Safe R,-11.553985107654771,564774.02,,0
FL-09,Safe D,9.587847940804794,718708.71,,0
FL-10,Safe D,14.832758363085407,3132973.79,,0
FL-11,Likely R,-8.31671764256397,21490.14,,0
FL-12,Safe R,-16.34021772390692,441980.9,,0
FL-13,Likely R,-5.446031223054323,553303.6,,0
