district_id,total_gap,sigma_i
AZ-01,553568273.8869029,10.223673098888318
AZ-04,106761117.25200608,18.38439446954906
CA-13,436665061.0570292,10.384258387230197
CA-22,409902276.8322266,10.505578775061474
CA-27,482486428.383407,10.357484070988482
CA-40,815818997.7967216,10.215486884542681
CA-45,768349668.313508,10.302783927076192
CA-49,91000018.7065942,18.54856340559734
CO-07,-1721881.6199999985,18.555594049758188
CO-08,19921540.135577768,18.29186705680184
CT-02,85383036.24490657,18.460111720590213
CT-05,111087545.55013964,18.462039624738896
FL-27,451951291.6889494,10.244563875600988
FL-28,408695390.71665144,10.084025644614462
IA-03,631929186.7921187,10.23548031553924
IL-17,19620434.400868267,18.455868397890075
KS-03,83872115.22812386,18.441280588217957
MD-06,7245007.88402228,18.314145241325825
ME-02,215434938.56369123,18.999009255532922
MI-03,24769524.896792516,18.222394214322094
MI-07,172902963.54918665,13.156279355724653
MI-08,115247529.98925614,12.980835559821866
MN-02,21201666.923320062,18.167453973004676
NC-01,92570945.94311203,18.542966859378996
NC-13,157014832.67381394,18.420896104124914
NE-02,585557837.1283318,10.071437094470824
NH-01,43083155.1086853,18.237798662079875
NH-02,26041972.926885664,13.013573880642312
NJ-07,534290834.9424663,10.201922604097067
NM-01,46804176.39481715,10.37667397296941
NM-02,146781199.7011185,18.369260122771603
NV-03,22569180.861368924,18.411344414348974
NY-03,182717300.9136496,18.39736152098043
NY-04,369412019.0586084,10.445176513148501
NY-17,421547959.4658457,10.265630393174021
NY-18,34447439.11853506,18.242558927228846
NY-19,388408080.6761504,10.100525758926228
NY-22,525293106.4173487,10.085503040950796
OH-01,18839808.687110227,18.36540917487509
OH-09,94334292.45601666,18.541520065324107
OH-13,40862104.00925445,18.207793298827998
OR-05,566417441.6269413,10.137115510439639
PA-01,650241695.3941741,10.050686321733165
PA-07,-1895206.8420069162,18.48106571818481
PA-08,179642256.03128034,18.816291867577753
PA-17,23572634.757682808,18.15525221556684
TX-15,733743555.8890424,10.106672229160555
VA-02,651597845.8303913,10.241244952354805
VA-07,-14018368.737329522,12.952167906857985
VA-10,-2352104.01,13.409980315486203
WA-03,197495806.35925055,18.864005263209595
WA-08,15330469.6776502,18.281259014931052
WI-01,623563373.227806,10.261347144189624
