tier,cycle,n_obs,eta,se
Safe D,2012,58,0.37051564418078053,0.20277269826794173
Safe D,2014,26,0.36324702782179663,0.0877735488638873
Safe D,2016,29,0.16896310393175418,0.09271207447061466
Safe D,2018,87,0.19294798851248035,0.17943850002770387
Safe D,2020,128,-0.13717862991698573,0.6087919804335784
Safe D,2022,109,1.069694529719842,0.18527488731603783
Safe D,2024,97,0.3182015334975613,0.20211170883157706
Likely D,2012,48,0.17996493678014389,0.3138807074281543
Likely D,2014,25,0.5906036196686204,0.3898150425374161
Likely D,2016,18,0.5427028241936118,1.3516729399742131
Likely D,2018,17,0.423312720315018,0.19507731464056918
Likely D,2020,106,0.03479669153551908,0.08399905078576453
Likely D,2022,91,-0.21203912431649052,0.13209853959588924
Likely D,2024,82,-0.10149819147606648,0.11355754219685753
Lean D,2012,39,0.6371795918918658,0.24931944670907144
Lean D,2014,29,0.004641689442899721,0.2176808455954989
Lean D,2016,56,0.435826774059917,0.13077161606213117
Lean D,2018,107,-0.09656619944087723,0.08727036922926631
Lean D,2020,82,0.6619827929557665,0.21338525879937295
Lean D,2022,127,0.2938841818755611,0.12435587495141609
Lean D,2024,114,0.23653211808234725,0.08967743742199122
Toss-Up,2012,79,0.42215270123422527,0.17507519119290887
Toss-Up,2014,48,0.25216310968692635,0.21758812764938146
Toss-Up,2016,19,-0.2167942260713566,0.34181430274288516
Toss-Up,2018,66,0.07922542788070613,0.06429297415994467
Toss-Up,2020,94,0.11007902256006569,0.139765763694663
Toss-Up,2022,139,0.729939109263241,0.1474948853897952
Toss-Up,2024,61,0.3414522734491998,0.08328098409729177
Lean R,2012,36,0.5722407455611278,0.4145133532898101
Lean R,2016,15,0.46359535448929223,0.28502786102118643
Lean R,2018,24,0.07668190565771635,0.15266575385032824
Lean R,2020,75,0.4264156791497973,0.11773059342789045
Lean R,2022,22,0.38688841357965864,0.873343388262673
Lean R,2024,20,0.18309963537906138,0.2093425325065521
Likely R,2012,47,0.5617242440432889,0.42628178590945676
Likely R,2014,62,0.16672566646248785,0.204165997541121
Likely R,2016,41,0.5286603596595743,0.2747959715262014
Likely R,2018,93,0.4502411134464164,0.11012518299764062
Likely R,2020,126,0.6251656990480305,0.10744329723523832
Likely R,2022,93,-0.017244985216736237,0.05126071839774177
Likely R,2024,90,0.41158583593433545,0.27856438009734225
Safe R,2012,99,0.5836100382396279,0.15718568962932966
Safe R,2014,82,0.5640322532414572,0.2182438312174101
Safe R,2016,151,0.3063260654379733,0.37042266919015754
Safe R,2018,193,0.3604121842830939,0.0946818666909903
Safe R,2020,313,0.5111953595865436,0.16090425780999876
Safe R,2022,139,-0.0033462387436219553,0.004617066956145924
Safe R,2024,137,-0.16495319778952353,0.06608026429112422
