district_id,c_max,party_dollars,selected
PA-01,3,10163605.0,True
PA-01,5,8904881.0,True
PA-01,7,8043701.0,True
PA-01,10,7176770.0,True
PA-01,15,6360969.0,True
PA-01,20,5888561.0,True
PA-01,30,5350686.0,True
AZ-02,3,6033535.0,True
AZ-02,5,6289485.0,True
AZ-02,7,6198375.0,True
AZ-02,10,5901365.0,True
AZ-02,15,5465785.0,True
AZ-02,20,5139021.0,True
AZ-02,30,4694665.0,True
MT-01,3,6107176.0,True
MT-01,5,6249414.0,True
MT-01,7,6074855.0,True
MT-01,10,5687561.0,True
MT-01,15,5156351.0,True
MT-01,20,4769019.0,True
MT-01,30,4251322.0,True
CA-09,3,1763003.0,True
CA-09,5,2318301.0,True
CA-09,7,2706752.0,True
CA-09,10,3084005.0,True
CA-09,15,3436307.0,True
CA-09,20,3619246.0,True
CA-09,30,3781751.0,True
CO-04,3,2104605.0,True
CO-04,5,2342798.0,True
CO-04,7,2420319.0,True
CO-04,10,2409017.0,True
CO-04,15,2315588.0,True
CO-04,20,2211273.0,True
CO-04,30,2032488.0,True
