district_id,cook_rating,delta_seats_no_maturity,delta_seats_with_maturity,model_party_no_maturity,model_party_with_maturity
AL-01,Safe R,3.839382099981594e-06,1.9600345257199175e-06,307.6435239845232,201.38826650851115
AL-02,Safe R,-0.0055614523796557735,-3.506271200004463e-05,3327583.1634076177,775897.2454739114
AL-03,Safe R,4.893780727844796e-07,1.222292416432156e-07,60.87898894787941,20.22457434977332
AL-04,Safe R,0.0,0.0,0.0,0.0
AL-05,Safe R,0.013843282657039303,0.002558276295271965,819833.0614693407,162169.52574588085
AL-06,Safe R,2.0851218121966568e-05,2.985818040512553e-06,1203.675006986472,215.61852900306258
AL-07,Safe D,0.0,0.0,0.0,0.0
AR-01,Safe R,1.8755241686013507e-05,2.254140580069215e-06,1195.8397845100626,181.01765885132772
AR-02,Safe R,0.06071149728505332,0.03939037629108416,3498946.719150452,3018134.599708155
AR-03,Safe R,0.0007482248887329332,0.00013971415104839686,25968.700332580847,5737.7299737552385
AR-04,Safe R,0.0,0.0,0.0,1.8189894035458565e-12
AZ-01,Toss-Up,0.04727343465229089,0.05469966314290048,5423106.975638082,9424633.087493343
AZ-02,Likely R,-0.016171536124427566,-0.00881918758963579,5791517.235719463,9475992.496528495
AZ-03,Safe D,0.0,0.0,0.0,0.0
AZ-04,Lean D,0.0064129049246837155,0.0017343724125755688,608797.9432837258,201024.18406435568
AZ-05,Safe R,0.003622176204140612,0.0009840323716746834,79675.85451064004,23995.163992549802
AZ-06,Likely R,0.048605504616643036,0.060123289893417864,6047167.839814931,11251696.118574353
AZ-07,Safe D,0.0,4.8126624867417256e-05,0.0,25214.56597520248
AZ-08,Safe R,0.0013676779850634747,0.00017195262113386435,18088.450099434347,2462.763298576443
AZ-09,Safe R,0.011225776613577487,0.016528499438217548,2085319.2786696414,4604373.070749539
CA-01,Safe R,0.0372861368784535,0.02896202116243729,3564340.957049214,4007805.807263616
CA-02,Safe D,0.0,0.0,0.0,0.0
CA-03,Toss-Up,0.015001535163580049,0.005470829194734961,1323127.3886215766,596995.2931689494
CA-04,Safe D,0.0,0.0,0.0,0.0
CA-05,Safe R,0.06453282620090373,0.01135344783290515,1903988.0579614895,270011.59445509774
CA-06,Likely D,0.0,0.00043010973129975483,0.0,221830.515721992
CA-07,Safe D,0.0,0.0,0.0,0.0
CA-08,Safe D,0.0,0.0,0.0,0.0
CA-09,Likely D,0.0,7.821383092321277e-05,0.0,40886.56615399872
CA-10,Safe D,0.0,9.23622725790274e-06,0.0,4367.211420928477
CA-11,Safe D,-4.129384750806153e-07,-4.008558935897355e-07,425000.0,425000.0
CA-12,Safe D,0.0,0.0,0.0,0.0
CA-13,Likely D,0.09877063267566755,0.0907963252430426,4604757.820722186,5917040.278552647
CA-14,Safe D,-0.00040556842548644667,-0.0003818355888345337,24954.05,24954.05
CA-15,Safe D,0.0,0.0,0.0,0.0
CA-16,Safe D,0.0,0.0,0.0,0.0
CA-17,Safe D,0.0,0.0,0.0,0.0
CA-18,Safe D,0.0,0.0,0.0,0.0
CA-19,Safe D,0.0,0.0,0.0,0.0
CA-20,Safe R,0.00023096320788463989,6.371990285076838e-05,12003.151535043944,4094.384133643718
CA-21,Safe D,0.013866394868927046,0.002261083040279055,495428.1876439508,79613.25126099354
CA-22,Lean D,0.0009029084581322344,0.004933028837386111,4450477.237836176,6532282.928280221
CA-23,Safe R,0.014128397327891437,0.0016448493768343175,178699.47565036698,17451.129621555112
