series,horizon_days,std_dG,n_pairs
2018_538,30,0.9926249481093179,541
2018_538,60,1.3368189053031632,511
2018_538,90,1.633628072436869,481
2018_538,180,1.870048023011784,391
2018_538,270,1.8238962591257766,301
2018_538,365,1.0308357315363106,206
2018_538,450,1.1161548642065249,121
2020_538,30,0.7343467156670893,552
2020_538,60,0.957391295225327,522
2020_538,90,1.0394086814456545,492
2020_538,180,1.1426144409384433,402
2020_538,270,0.804116121669441,312
2020_538,365,1.0399474955373502,217
2020_538,450,1.1771755545372828,132
2022_538,30,1.1625823367483183,557
2022_538,60,1.7660514979576893,527
2022_538,90,2.2449306787078074,497
2022_538,180,3.4436326080801716,407
2022_538,270,3.589163574687664,317
2022_538,365,2.3271437700473667,222
2022_538,450,0.815035970108992,137
2024_538,30,1.0817233363770746,555
2024_538,60,1.4773506418038398,525
2024_538,90,1.590729986335514,495
2024_538,180,1.835055026066816,405
2024_538,270,1.923503104402711,315
2024_538,365,2.199498713478919,220
2024_538,450,1.1956480363503896,135
2026_live,30,1.2592108873500125,536
2026_live,60,1.6190014684930716,506
2026_live,90,1.894143421052062,476
2026_live,180,1.9455252867290886,386
2026_live,270,1.9453311239102533,296
2026_live,365,2.163784106587595,201
2026_live,450,1.4442627642804156,116
