district_id,pvi,cand_floor,phi0_at_floor,persuadability_4phi0(1-phi0),C_i_ceiling_pp,mu_floor_pp,mu_raw_uncapped_pp,mu_capped_pp,saturation_pct,model_party_$,delta_seats,tier
NY-01,-3.69,475381.0,0.2737,0.7952,7.952,-6.25,-0.42,-2.12,52.0,4819022.0,0.1455,Likely R
OH-10,-4.18,237506.0,0.2203,0.6871,6.871,-8.05,-0.9,-3.61,64.6,3429868.0,0.1445,Likely R
NY-02,-3.77,372440.0,0.1972,0.6333,6.333,-8.86,-1.12,-4.39,70.5,4122919.0,0.1392,Likely R
FL-07,-5.12,438047.0,0.2558,0.7615,7.615,-6.9,-1.75,-3.16,49.1,4216450.0,0.1261,Likely R
PA-08,-4.5,1202879.0,0.256,0.7618,7.618,-6.86,-1.83,-3.18,48.3,6720426.0,0.1247,Likely R
IA-01,-3.24,1733644.0,0.3336,0.8892,8.892,-4.45,-0.36,-1.18,36.9,7739455.0,0.1212,Likely R
NJ-02,-4.76,714923.0,0.2853,0.8157,8.157,-5.95,-1.47,-2.5,42.2,5152802.0,0.1205,Likely R
MI-04,-5.2,933771.0,0.2421,0.734,7.34,-7.36,-2.36,-3.73,49.4,5804351.0,0.1193,Likely R
FL-13,-5.45,553304.0,0.1923,0.6212,6.212,-9.17,-2.81,-5.19,64.1,4480671.0,0.1191,Likely R
FL-04,-6.1,427461.0,0.2089,0.6611,6.611,-8.59,-2.98,-4.81,57.2,3930751.0,0.1162,Likely R
LA-06,-18.66,433560.0,0.5196,0.9985,9.985,1.05,13.63,8.2,71.7,2872168.0,0.1307,Safe R
WA-05,-8.08,334896.0,0.1325,0.4596,4.596,-12.01,-5.65,-8.56,74.9,2586419.0,0.0808,Safe R
CA-05,-8.89,272284.0,0.1089,0.388,3.88,-13.36,-6.81,-10.2,81.5,1903988.0,0.0645,Safe R
AR-02,-9.05,983016.0,0.1146,0.4058,4.058,-13.05,-7.89,-10.13,72.0,3498947.0,0.0607,Safe R
KS-02,-10.92,514537.0,0.1506,0.5117,5.117,-11.39,-7.88,-8.85,49.6,2823065.0,0.0603,Safe R
NE-01,-9.41,301622.0,0.0956,0.3457,3.457,-14.23,-7.84,-11.32,84.2,1694177.0,0.0537,Safe R
