district_id,party,candidate_id,name,candidate_status,candidate_inactive,note
AL-02,D,H4AL02170,"FIGURES, SHOMARI C.",C,False,
AL-02,R,H6AL01086,"MARQUES, RHETT",C,False,
CA-13,D,H2CA13115,"GRAY, ADAM C.",C,False,
CA-13,R,H4CA14093,"KRUTTIVENTI, VIN",C,False,
CA-40,D,H6CA40309,"VARET, ESTHER KIM",C,False,
CA-40,R,H8CA39240,"KIM, YOUNG",C,False,
FL-04,D,H6FL04220,"KIRWAN, MICHAEL",C,False,
FL-04,R,H2FL04211,"BEAN, AARON P.",C,False,
FL-07,D,H6FL07215,"DALTON, BALE",C,False,
FL-07,R,H2FL07156,"MILLS, CORY",C,False,
FL-13,D,H6FL13239,"FORD, EARLE",C,False,
FL-13,R,H0FL13158,"PAULINA LUNA, ANNA",C,False,
FL-22,D,H6FL21059,"DANDIYA, PIA",C,False,
FL-22,R,H6FL25035,"CARBONARA, MICHAEL",C,False,
FL-27,D,H6FL27056,"LAMONDIN, RICHARD",C,False,
FL-27,R,H8FL27185,"SALAZAR, MARIA ELVIRA",C,False,
FL-28,D,H6FL28047,"MUJICA, HECTOR DANIEL",C,False,
FL-28,R,H0FL26036,"GIMENEZ, CARLOS",C,False,
GA-07,D,H6GA07221,"KOZYCKI, ANTHONY LAWRENCE",C,False,
GA-07,R,H0GA07273,"MCCORMICK, RICHARD DEAN DR.",C,False,
IA-01,D,H2IA02111,"BOHANNAN, CHRISTINA",C,False,
IA-01,R,H8IA02043,"MILLER-MEEKS, MARIANNETTE JANE",C,False,
IA-03,D,H6IA03268,"TRONE GARRIOTT, SARAH",C,False,
IA-03,R,H2IA03119,"NUNN, ZACH",C,False,
LA-06,D,H4LA06211,"FIELDS, CLEO",C,False,
LA-06,R,H4LA06153,"GRAVES, GARRET",P,False,REVIEW
MI-04,D,H6MI04204,"MCCANN, SEAN",C,False,
MI-04,R,H0MI02094,"HUIZENGA, WILLIAM P",C,False,
MI-07,D,H6MI07256,"BRINK,, BRIDGET",C,False,
MI-07,R,H2MI07123,"BARRETT, THOMAS MORE",C,False,
MI-09,D,H4MI09125,"ST MOSLEY, CLINTON",P,False,REVIEW
MI-09,R,H0MI10287,"MCCLAIN, LISA",C,False,
NC-01,D,H2NC02287,"DAVIS, DON",C,False,
NC-01,R,H2NC02253,"ROBERSON, SANDY",C,False,
NC-06,D,H6NC06164,"JEFFERSON, CYRIL",C,False,
NC-06,R,H4NC06177,"MCDOWELL, ADDISON",C,False,
NC-07,D,H6NC07196,"HARDY, KIMBERLY DR.",C,False,
NC-07,R,H2NC07096,"ROUZER, DAVID",C,False,
NC-10,D,H6NC10174,"BELL, ASHLEY",C,False,
NC-10,R,H2NC13243,"HARRIGAN, PAT",C,False,
NC-14,D,H6NC14036,"CALDWELL, BRENT",C,False,
NC-14,R,H4NC14015,"MOORE, TIM",C,False,
NJ-02,D,H6NJ02228,"WINDER, BAYLY PHILIP CHRISTOPER",C,False,
NJ-02,R,H8NJ02166,"VAN DREW, JEFF MR",C,False,
NV-01,D,H8NV03036,"TITUS, DINA",C,False,
NV-01,R,H6NV01331,"BUCK, CARRIE",C,False,
NY-01,D,H6NY01159,"GALLANT, CHRISTOPHER",C,False,
NY-01,R,H2NY01190,"NICK, LALOTA",C,False,
NY-02,D,H6NY02140,"HALPIN, PATRICK",C,False,
NY-02,R,H0NY02234,"GARBARINO, ANDREW",C,False,
NY-03,D,H6NY03247,"SUOZZI, THOMAS",C,False,
NY-03,R,H0NY02267,"LIPETRI, MIKE",C,False,
NY-04,D,H2NY04244,"GILLEN, LAURA",C,False,
NY-04,R,H6NY04195,"SUBER WILLIAMS, MARVIN",C,False,
NY-17,D,H6NY17213,"CHATZKY, PETER",C,False,
NY-17,R,H2NY17162,"LAWLER, MICHAEL VINCENT",C,False,
NY-18,D,H8NY19223,"RYAN, PATRICK",C,False,
NY-18,R,H6NY18252,"AURINGER, JACKIE MARY",C,False,
NY-22,D,H4NY22085,"MANNION, JOHN W",C,False,
NY-22,R,H6NY22213,"BULLER, KAILEE",C,False,
OH-02,D,H4OH02222,"WESSELS, HERMANN JOSEPH MR. JR",N,False,REVIEW
OH-02,R,H4OH02248,"TAYLOR, DAVID",C,False,
OH-10,D,H6OH10121,"KNICKERBOCKER, KRISTINA",C,False,
OH-10,R,H2OH03067,"TURNER, MICHAEL R REP.",C,False,
OH-15,D,H4OH15083,"MILLER, ADAM CLAY",C,False,
OH-15,R,H2OH15228,"CAREY, MIKE",C,False,
OK-03,D,H6OK03249,"ROBERSON, JULES",N,False,REVIEW
OK-03,R,H4OK06056,"LUCAS, FRANK D.",C,False,
PA-08,D,H6PA08293,"COGNETTI, PAIGE",C,False,
PA-08,R,H4PA08124,"BRESNAHAN, ROB",C,False,
PA-10,D,H4PA10104,"STELSON, JANELLE",C,False,
PA-10,R,H2PA04135,"PERRY, SCOTT",C,False,
RI-02,D,H2RI02184,"MAGAZINER, SETH",C,False,
RI-02,R,H6RI02318,"MELLOR, VICTOR G.",C,False,
TX-15,D,H6TX15246,"PULIDO, BOBBY",C,False,
TX-15,R,H0TX15124,"DE LA CRUZ, MONICA",C,False,
TX-32,D,H4TX06216,"CORNWALLIS, ALEX",N,False,REVIEW
TX-32,R,H6TX32159,"BINKLEY, RYAN",C,False,
VA-02,D,H6VA02198,"LURIA, ELAINE",C,False,
VA-02,R,H2VA02064,,,,lookup failed
VA-05,D,H6VA05217,,,,lookup failed
VA-05,R,H0VA07133,,,,lookup failed
WI-01,D,H6WI01283,,,,lookup failed
WI-01,R,H8WI01156,,,,lookup failed
