district_id,tier,msg_i_per_1m,floor,nl_party_alloc,lp_party_alloc
AL-01,Safe R,3.904246012526379e-05,18859.98,0.0,0.0
AL-02,Safe R,0.7345190800974075,525227.08,5606728.170424356,0.0
AL-03,Safe R,6.669375169040573e-08,14042.04,1.8189894035458565e-11,0.0
AL-04,Safe R,1.5762735224783505e-12,12306.87,0.0,0.0
AL-05,Safe R,0.004822622075904399,341163.15,2.3283064365386963e-10,0.0
AL-06,Safe R,0.00011906572266119189,48622.35,7.275957614183426e-12,0.0
AL-07,Safe D,0.0,1402783.21,0.0,0.0
AR-01,Safe R,1.5824038648890132e-05,30185.76,1.2732925824820995e-10,0.0
AR-02,Safe R,0.024336392135160218,683796.62,3584950.173829862,0.0
AR-03,Safe R,0.0007219424081161533,83684.08,2.9103830456733704e-11,0.0
AR-04,Safe R,3.968881623425596e-20,327.0,0.0,0.0
AZ-01,Toss-Up,0.17442590246623707,815875.86,5298052.4528614255,0.0
AZ-02,Likely R,0.024222194703352913,1011172.08,6454818.857528195,0.0
AZ-03,Safe D,5.837094817399683e-10,2108123.24,0.0,0.0
AZ-04,Lean D,0.010691574506487838,847123.33,2988.3582660158863,0.0
AZ-05,Safe R,0.15826387181107027,110278.64,2459025.6324007367,0.0
AZ-06,Likely R,0.06543358620011046,1830458.04,4298274.423180513,0.0
AZ-07,Safe D,3.471216662984456e-05,1709277.5,0.0,0.0
AZ-08,Safe R,0.0015516518350110215,17589.1,2477893.470270829,0.0
AZ-09,Safe R,0.00658803362147339,4439410.31,0.0,0.0
CA-01,Safe R,0.015108521440010007,1250451.72,429109.45019852254,0.0
CA-02,Safe D,7.393599294988181e-07,775169.67,1.1641532182693481e-10,0.0
CA-03,Toss-Up,0.009538295623083271,1221177.59,0.0,0.0
CA-04,Safe D,3.1886203995399436e-05,3850960.61,0.0,0.0
CA-05,Safe R,0.08192435261241238,224651.33,2925803.985673867,0.0
CA-06,Likely D,0.0034968845521964652,663563.43,2.3283064365386963e-10,0.0
CA-07,Safe D,6.08096974958845e-10,1874567.85,0.0,0.0
CA-08,Safe D,4.601372286844658e-07,439685.37,0.0,0.0
CA-09,Likely D,9.490851624422816e-05,976060.18,0.0,0.0
CA-10,Safe D,2.2790955091570336e-05,516173.13,5.820766091346741e-11,0.0
CA-11,Safe D,1.849685714356263e-11,4037598.69,0.0,0.0
CA-12,Safe D,0.0,861269.88,0.0,0.0
CA-13,Likely D,0.11906285180950521,2036680.0,1799729.2967182845,0.0
CA-14,Safe D,8.493251360304791e-05,1896866.9,0.0,0.0
CA-15,Safe D,1.6906309845847757e-07,568891.0,0.0,0.0
CA-16,Safe D,3.0643501187211565e-07,1343778.45,0.0,0.0
CA-17,Safe D,1.0751302414189033e-08,6615233.33,0.0,0.0
CA-18,Safe D,1.0502552103345114e-06,1237078.36,2.3283064365386963e-10,0.0
CA-19,Safe D,3.090644558574647e-06,1304897.69,0.0,0.0
CA-20,Safe R,1.3971150999002545e-06,22728.46,2.1827872842550278e-11,0.0
CA-21,Safe D,0.04172794425417873,552238.55,212603.8428032291,0.0
CA-22,Lean D,0.08631987249403276,1428655.63,2793575.09504384,0.0
CA-23,Safe R,0.06550010296793954,72674.73,3118116.2019386776,0.0
CA-24,Safe D,0.0003075039965340639,809950.99,0.0,0.0
CA-25,Likely D,0.06225149529176999,1137266.6,615767.7902482431,0.0
CA-26,Safe D,0.03285539541893654,555813.61,177799.94729239063,0.0
CA-27,Likely D,0.0001909977398649573,1541320.51,0.0,0.0
CA-28,Safe D,1.8213399028595984e-06,794230.55,0.0,0.0
CA-29,Safe D,0.0,491885.96,0.0,0.0
CA-30,Safe D,5.627054167670241e-08,4210120.6,0.0,0.0
CA-31,Safe D,0.0017516239974964753,426004.14,5.820766091346741e-11,0.0
CA-32,Safe D,2.956015872741442e-07,1805207.04,0.0,0.0
CA-33,Safe D,1.6764747443483754e-06,3503428.18,0.0,0.0
CA-34,Safe D,0.0,1288657.97,0.0,0.0
CA-35,Safe D,1.7242168937640444e-06,544667.07,0.0,0.0
CA-36,Safe D,1.292176681449767e-06,1211263.13,0.0,0.0
CA-37,Safe D,0.0,632437.89,0.0,0.0
CA-38,Safe D,0.0,448269.25,0.0,0.0
CA-39,Safe D,1.2318636425530573e-07,911987.82,0.0,0.0
CA-40,Lean R,0.05403263397628133,2594422.79,8828577.306512136,0.0
CA-41,Toss-Up,0.0,1092528.72,0.0,0.0
CA-42,Safe D,8.60235428436401e-06,1467657.69,0.0,0.0
CA-43,Safe D,0.0,527178.26,0.0,0.0
CA-44,Safe D,5.420898176991077e-08,1064461.34,0.0,0.0
CA-45,Likely D,0.1229126274840904,1773751.07,2254887.8178190105,0.0
CA-46,Safe D,8.447746453227571e-05,599666.14,0.0,0.0
CA-47,Likely D,0.0002582329173015807,1470265.31,0.0,0.0
CA-48,Safe R,0.024862508385182572,1950087.44,1413765.509921581,0.0
CA-49,Lean D,0.0016101771824328214,1779935.38,0.0,0.0
CA-50,Safe D,0.0,1185108.05,0.0,0.0
CA-51,Safe D,5.3552929914230225e-06,1368637.97,0.0,0.0
CA-52,Safe D,7.670336904562917e-06,466926.47,0.0,0.0
