district_id,cook_rating,incumb_status,pvi,cand_d_total,r_total,outspent_ratio,indiv_share,msg_i_per_1m,model_recommended_party_dollars,model_party_share_pct,weak_fundraising,low_grassroots_support,severely_outspent,deep_structural_pvi,n_flags,explicable_by_observables,marginal_model_conviction
VA-10,Lean D,Open,4.93,2838558.0,9517135.0,3.35,0.8,0.053161,9211875.0,1.981,True,False,True,False,2,True,False
WI-01,Lean R,Challenger,-2.91,2295665.0,5885715.0,2.56,0.817,0.042084,7196268.0,1.548,True,False,False,False,1,True,False
PA-01,Toss-Up,Challenger,-0.33,3962974.0,3794857.0,0.96,0.907,0.026159,7176770.0,1.543,False,False,False,False,0,False,False
CA-03,Likely R,Challenger,-4.26,3262406.0,4352725.0,1.33,0.913,0.029554,6758137.0,1.453,True,False,False,False,1,True,False
CA-40,Lean R,Challenger,-2.35,2080923.0,10118044.0,4.86,0.317,0.048882,6217052.0,1.337,True,True,True,False,3,True,False
AZ-02,Likely R,Challenger,-6.43,5457626.0,8516970.0,1.56,0.963,0.015253,5901365.0,1.269,False,False,False,False,0,False,False
FL-27,Toss-Up,Challenger,2.7,641799.0,1849517.0,2.88,0.906,0.243856,5699267.0,1.226,True,False,False,False,1,True,False
MT-01,Likely R,Challenger,-6.65,6205246.0,9655719.0,1.56,0.86,0.012804,5687561.0,1.223,False,False,False,False,0,False,False
NJ-02,Likely R,Challenger,-4.76,1705654.0,2950258.0,1.73,0.524,0.056759,5617433.0,1.208,True,True,False,False,2,True,False
FL-28,Toss-Up,Challenger,0.74,1186116.0,1270924.0,1.07,0.919,0.094393,5305626.0,1.141,True,False,False,False,1,True,False
NY-02,Likely R,Challenger,-3.77,1025032.0,2757787.0,2.69,0.826,0.102747,4966322.0,1.068,True,False,False,False,1,True,False
MI-04,Likely R,Challenger,-5.2,1051050.0,3229965.0,3.07,0.947,0.084607,3947345.0,0.849,True,False,True,False,2,True,False
FL-15,Likely R,Challenger,-3.49,542647.0,1815179.0,3.35,0.79,0.193511,3744917.0,0.805,True,False,True,False,2,True,False
MN-01,Likely R,Open,-7.85,1200515.0,1914098.0,1.59,0.0,0.06325,3707081.0,0.797,True,True,False,False,2,True,False
MN-08,Safe R,Challenger,-8.04,1231132.0,2176224.0,1.77,0.931,0.052038,3414665.0,0.734,True,False,False,False,1,True,False
WI-08,Safe R,Open,-10.17,2776592.0,1557633.0,0.56,0.95,0.018426,3395563.0,0.73,True,False,False,False,1,True,False
NC-13,Toss-Up,Incumbent,-1.86,1731102.0,4512302.0,2.61,0.364,0.24586,3264137.0,0.702,True,True,False,False,2,True,False
CA-09,Likely D,Incumbent,4.99,4876310.0,3632540.0,0.74,0.832,0.0342,3084005.0,0.663,False,False,False,False,0,False,False
CA-23,Safe R,Challenger,-8.14,770326.0,905220.0,1.18,0.959,0.088729,3069297.0,0.66,True,False,False,False,1,True,False
NC-06,Likely D,Incumbent,4.16,988076.0,1480495.0,1.5,0.714,0.409459,2991689.0,0.643,True,False,False,False,1,True,False
NC-14,Likely D,Incumbent,5.04,971905.0,1475689.0,1.52,0.691,0.411048,2876017.0,0.618,True,True,False,False,2,True,False
TN-07,Safe R,Open,-10.1,1246180.0,2254372.0,1.81,0.969,0.055053,2821005.0,0.607,True,False,False,False,1,True,False
VA-01,Likely R,Challenger,-6.88,722446.0,2005528.0,2.78,0.878,0.104437,2703880.0,0.581,True,False,False,False,1,True,False
SC-01,Likely R,Challenger,-7.79,1093784.0,3053336.0,2.79,0.906,0.061766,2645574.0,0.569,True,False,False,False,1,True,False
