district_id,cook_rating,incumb_status,pvi,cand_d_total,r_total,outspent_ratio,indiv_share,msg_i_per_1m,model_recommended_party_dollars,model_party_share_pct,weak_fundraising,low_grassroots_support,severely_outspent,deep_structural_pvi,n_flags,explicable_by_observables,marginal_model_conviction
CA-27,Lean D,Challenger,4.06,4067087.0,12212687.0,3.0,0.811,0.032769,5646057.0,1.753,False,False,True,False,1,True,False
CA-40,Lean R,Challenger,-2.35,3684773.0,10646366.0,2.89,0.811,0.028484,4340822.0,1.348,False,False,False,False,0,False,False
IA-01,Likely R,Challenger,-3.24,3168098.0,5861768.0,1.85,0.852,0.031266,3902997.0,1.212,False,False,False,False,0,False,False
PA-01,Toss-Up,Challenger,-0.33,964394.0,3380066.0,3.5,0.947,0.083999,3871816.0,1.202,True,False,True,False,2,True,False
IA-02,Likely R,Challenger,-4.04,4209079.0,8389234.0,1.99,0.898,0.023374,3619258.0,1.124,False,False,False,False,0,False,False
NJ-03,Likely D,Incumbent,4.32,7536465.0,8001390.0,1.06,0.81,0.033403,3305686.0,1.027,False,False,False,False,0,False,False
CA-03,Likely R,Challenger,-4.26,3230693.0,3836192.0,1.19,0.868,0.025482,3216129.0,0.999,False,False,False,False,0,False,False
WI-01,Lean R,Challenger,-2.91,814276.0,2493791.0,3.06,0.913,0.130377,3110270.0,0.966,True,False,True,False,2,True,False
FL-15,Likely R,Challenger,-3.49,856713.0,1881158.0,2.2,0.905,0.119366,3044153.0,0.945,True,False,False,False,1,True,False
FL-07,Lean R,Incumbent,-5.12,1690269.0,3117367.0,1.84,0.389,0.266447,2782775.0,0.864,True,True,False,False,2,True,False
NY-11,Likely R,Challenger,-5.64,4091798.0,4614770.0,1.13,0.88,0.019755,2712179.0,0.842,False,False,False,False,0,False,False
AZ-09,Safe R,Incumbent,-15.97,2332395.0,854966.0,0.37,0.752,0.063917,2710839.0,0.842,True,False,False,True,2,True,False
TN-05,Likely R,Incumbent,-9.1,1428067.0,2337836.0,1.64,0.628,0.198398,2515699.0,0.781,True,True,False,False,2,True,False
OH-15,Likely R,Open,-6.12,978557.0,2385183.0,2.44,0.824,0.094824,2405883.0,0.747,True,False,False,False,1,True,False
NY-01,Likely R,Challenger,-3.69,2679870.0,1717410.0,0.64,0.876,0.026009,2398937.0,0.745,True,False,False,False,1,True,False
VA-05,Likely R,Challenger,-6.76,861816.0,1208651.0,1.4,0.893,0.09193,2367116.0,0.735,True,False,False,False,1,True,False
