district_id,state,district,cook_rating,incumb_status,pvi,d_total,r_total,ratio,mu_hat,sigma_i,p_win,msg_i_per_1m,recommended_share,observed_share,difference,outcome,redistricting_flagged
GA-07,GA,7,Likely D,Challenger,8.481636073280551,19514.49,1720388.99,0.01121584629510598,-16.376,6.683,0.0071,0.862302,0.004149,1.5e-05,0.004133,R,False
NC-06,NC,6,Likely D,Incumbent,4.163220378592431,988076.08,1480494.94,0.4002623671730538,5.952,11.342,0.7001,0.62626,0.002815,0.000765,0.00205,R,True
NC-14,NC,14,Likely D,Incumbent,5.0351647382739895,972231.9600000001,1475688.71,0.39716644902549075,6.607,11.41,0.7187,0.617669,0.002689,0.000753,0.001936,R,True
FL-27,FL,27,Toss-Up,Challenger,2.7019707357899074,641799.11,1849517.0,0.257614482330787,-4.381,6.421,0.2475,0.315856,0.006127,0.000497,0.00563,R,False
NC-13,NC,13,Toss-Up,Incumbent,-1.864598296187117,1731102.48,4512302.43,0.27726897501510916,-12.83,11.162,0.1252,0.258876,0.008492,0.001341,0.007151,R,True
FL-28,FL,28,Toss-Up,Challenger,0.7406612144223361,1186116.33,1270923.94,0.4827419169649996,-2.972,6.334,0.3194,0.134861,0.00531,0.000919,0.004392,R,False
CT-02,CT,2,Lean D,Incumbent,2.1286702699589153,1139652.66,757453.19,0.6007322469645012,17.454,11.183,0.9407,0.124214,0.001944,0.000883,0.001061,D,False
FL-15,FL,15,Likely R,Challenger,-3.487792213850338,542647.03,1815179.46,0.23014714284595214,-11.742,6.456,0.0345,0.093449,0.005328,0.00042,0.004907,R,False
OH-10,OH,10,Likely R,Challenger,-4.1762804360223,205053.9,1395565.12,0.1281091236814117,-15.799,6.487,0.0074,0.075371,0.004544,0.000159,0.004386,R,False
VA-10,VA,10,Lean D,Open,4.930169768920273,2945644.78,9517135.17,0.23635535505062014,-4.748,9.45,0.3077,0.068885,0.011393,0.002281,0.009112,D,False
FL-09,FL,9,Safe D,Incumbent,9.587847940804794,2224952.97,2081584.55,0.5166454395595281,20.294,11.776,0.9576,0.056414,0.002807,0.001723,0.001084,D,False
NY-02,NY,2,Likely R,Challenger,-3.774283387941013,1025032.4,2757786.53,0.270970516688199,-11.154,6.469,0.0423,0.055365,0.006091,0.000794,0.005297,R,False
FL-22,FL,22,Likely D,Incumbent,7.92701110812219,2249966.27,1881546.36,0.5445865646548925,20.313,11.641,0.9595,0.051133,0.002804,0.001742,0.001061,D,False
CO-05,CO,5,Safe R,Open,-10.35789116985529,163412.92,1062074.21,0.1333452763392138,-25.74,9.812,0.0044,0.050583,0.002807,0.000127,0.002681,R,False
FL-07,FL,7,Likely R,Challenger,-5.117554716684672,277060.19,1614017.08,0.1465091852116651,-16.126,6.529,0.0068,0.050146,0.004401,0.000215,0.004187,R,False
MN-01,MN,1,Likely R,Open,-7.847842235909125,1252229.5,1914098.15,0.3954832343393142,-14.987,9.643,0.0601,0.043206,0.004244,0.00097,0.003274,R,False
TX-15,TX,15,Toss-Up,Challenger,1.0192203759560066,4433511.16,8267123.069999999,0.3490779341969917,-4.458,6.346,0.2412,0.039597,0.011786,0.003434,0.008352,R,False
VA-05,VA,5,Likely R,Challenger,-6.758397945939892,353802.56,1431064.58,0.1982234711318625,-16.289,6.604,0.0068,0.037127,0.003458,0.000274,0.003184,R,False
CA-23,CA,23,Safe R,Challenger,-8.137760237717675,772326.34,905220.42,0.46039035001325385,-13.029,6.667,0.0253,0.035475,0.00243,0.000598,0.001832,R,False
PA-01,PA,1,Toss-Up,Challenger,-0.3294379916098378,3979242.47,3794856.72,0.5118589784805666,-3.8,6.316,0.2737,0.035353,0.008438,0.003082,0.005356,R,False
NJ-02,NJ,2,Likely R,Challenger,-4.761067754946824,1709554.38,2950258.37,0.36687190488501925,-10.563,6.513,0.0524,0.034188,0.005625,0.001324,0.004301,R,False
NV-01,NV,1,Likely D,Incumbent,3.1666798532818117,3053534.9899999998,1905075.67,0.6158045467518113,19.393,11.264,0.9574,0.034043,0.003549,0.002365,0.001185,D,False
MD-02,MD,2,Likely D,Open,6.588015915525597,1406530.32,325170.16,0.8122249408858512,5.85,9.559,0.7297,0.033247,0.002299,0.001089,0.001209,D,False
