district_id,state,district,cook_rating,incumb_status,pvi,d_total,r_total,ratio,mu_hat,sigma_i,p_win,msg_i_per_1m,recommended_share,observed_share,difference,outcome,redistricting_flagged
TN-09,TN,9,Safe D,Incumbent,22.626245642096478,313772.7,549264.62,0.3635679393331449,18.877,22.849,0.7956,0.99071,0.00071,0.000265,0.000445,D,False
MD-07,MD,7,Safe D,Incumbent,30.226960116774826,309658.96,588221.88,0.34487756749548193,23.335,23.919,0.8354,0.875384,0.000587,0.000261,0.000325,D,False
OH-10,OH,10,Likely R,Challenger,-4.1762804360223,45681.07,1029189.47,0.042499136686730665,-20.024,11.252,0.0376,0.844719,0.00011,3.9e-05,7.2e-05,R,False
FL-28,FL,28,Toss-Up,Open,0.7406612144223361,153518.93,1478541.12,0.09406451067777806,-14.237,13.947,0.1537,0.511539,0.000814,0.00013,0.000684,R,False
FL-11,FL,11,Safe R,Challenger,-8.31671764256397,20677.59,872308.62,0.02315555354432629,-28.46,11.536,0.0068,0.455773,2.1e-05,1.7e-05,4e-06,R,False
FL-04,FL,4,Likely R,Challenger,-6.09606681878749,36914.98,1410365.57,0.02550644379211757,-25.19,11.383,0.0135,0.454358,4.5e-05,3.1e-05,1.4e-05,R,False
FL-02,FL,2,Likely R,Incumbent,-7.56900038068406,946380.51,2013249.76,0.3197630864885025,-13.273,20.867,0.2624,0.428937,0.002124,0.000799,0.001324,R,False
SC-02,SC,2,Safe R,Challenger,-8.884926417688632,94871.75,830198.74,0.10255623871430598,-20.385,11.576,0.0391,0.40757,0.000202,8e-05,0.000122,R,False
CO-05,CO,5,Safe R,Challenger,-10.35789116985529,23826.83,729903.02,0.031611896490499884,-29.092,11.679,0.0064,0.374631,2.4e-05,2e-05,4e-06,R,False
GA-12,GA,12,Likely R,Challenger,-7.63401355344136,193938.25,778377.83,0.19946008709431198,-15.136,11.489,0.0938,0.349019,0.000861,0.000164,0.000697,R,False
AZ-08,AZ,8,Safe R,Challenger,-10.181826844449171,35945.64,910999.06,0.03795959785191257,-27.784,11.666,0.0086,0.321737,3.7e-05,3e-05,7e-06,R,False
