district_id,state,district,cook_rating,incumb_status,pvi,d_total_22,r_total_22,d_total,r_total,mu_22,mu_hat,sigma_i,p_win_22,p_win,msg_22,msg_i_per_1m,rec_share_22,obs_share_24,diff_22,outcome,redistricting_flagged
MN-03,MN,3,Likely D,Open,6.678286346764351,50000.0,591948.86,83032.51,325199.48,-4.290696373556811,-0.137,8.173,0.2998035454832172,0.4933,2.866441576662026e-07,0.517271,0.15,0.000111,0.149889,D,False
NC-13,NC,13,Toss-Up,Incumbent,-1.864598296187117,2769364.93,13691047.78,867468.46,1319843.89,-15.788936130509668,3.772,10.061,0.0582928536506126,0.6461,1.6041150610923922e-08,0.385466,0.0,0.001156,-0.001156,R,False
NC-14,NC,14,Likely D,Incumbent,5.0351647382739895,5320730.81,50000.0,616380.53,1784636.17,33.296048116559795,2.502,10.373,0.9993363449319314,0.5953,9.450696011007708e-10,0.354801,0.0,0.000822,-0.000822,R,False
CT-02,CT,2,Lean D,Incumbent,2.128670269958916,924831.6,667751.64,603139.51,691728.52,17.47210574407533,12.442,10.087,0.9583772138093216,0.8913,1.263811590547987e-07,0.325616,0.0,0.000804,-0.000804,D,False
NC-06,NC,6,Likely D,Incumbent,4.163220378592431,2309460.35,1356666.67,560680.08,774677.43,21.87863922863825,12.627,10.286,0.9832909492399206,0.8902,2.5122994647234277e-08,0.311803,0.0,0.000747,-0.000747,R,False
FL-28,FL,28,Toss-Up,Challenger,0.7406612144223361,74284.97,887562.95,1102082.44,345944.23,-11.80607571299092,-1.867,5.897,0.0226345952391532,0.3758,4.1176750886508585e-08,0.193051,0.0,0.001469,-0.001469,R,False
FL-27,FL,27,Toss-Up,Challenger,2.7019707357899074,3617532.5,3895826.26,592775.51,910896.0,-1.3960230486782887,-2.264,6.009,0.4081423576448155,0.3532,3.7316325885129984e-08,0.178438,0.0,0.00079,-0.00079,R,False
GA-07,GA,7,Likely D,Challenger,8.481636073280551,7784851.27,488573.53,37360.19,1020787.94,8.748450854206546,-5.439,6.352,0.915785354523975,0.1959,1.2707412975361976e-08,0.177793,0.0,5e-05,-5e-05,R,False
MD-02,MD,2,Likely D,Open,6.588015915525597,437156.43,479480.62,1243084.77,161707.95,3.4366516927935096,6.111,8.166,0.6630634298346177,0.7729,2.110740322530829e-07,0.113727,0.0,0.001657,-0.001657,D,False
CA-51,CA,51,Safe D,Incumbent,11.437344844143032,680880.5700000001,94730.62,525045.45,752576.46,21.26389953802689,21.264,11.031,0.9730541061991368,0.9731,1.006032520421805e-07,0.100603,0.0,0.0007,-0.0007,D,False
